comps,coverage,Seq
4714209,9.139146568,bowtie
4714213,20.72490706,bowtie
4714223,22.25602968,bowtie
4714227,9.477777778,bowtie
4714237,11.65862709,bowtie
4714239,12.95185185,bowtie
4714253,5.02037037,bowtie
4714261,6.142592593,bowtie
4714271,4.890740741,bowtie
4714291,5.862962963,bowtie
4714303,13.27862595,bowtie
4714305,5.722222222,bowtie
4714307,4.468401487,bowtie
4714315,11.81666667,bowtie
4714321,58.10740741,bowtie
4714323,7.518518519,bowtie
4714331,8.259259259,bowtie
4714333,138.0185185,bowtie
4714337,11.02592593,bowtie
4714339,21.97574627,bowtie
4714383,4.74676525,bowtie
4714393,7.602661597,bowtie
4714397,6.926062847,bowtie
4714399,9.890942699,bowtie
4714417,6.408502773,bowtie
4714419,26.29684601,bowtie
4714425,5.859519409,bowtie
4714439,12.38262477,bowtie
4714441,80.3974122,bowtie
4714449,4.456561922,bowtie
4714453,11.94259259,bowtie
4714479,16.93854749,bowtie
4714483,19.86321627,bowtie
4714487,59.32162662,bowtie
4714489,21.90166976,bowtie
4714491,5.569316081,bowtie
4714525,5.446494465,bowtie
4714529,11.99446494,bowtie
4714549,6.937269373,bowtie
4714557,8.084870849,bowtie
4714565,6.820702403,bowtie
4714569,6.075645756,bowtie
4714585,8.156826568,bowtie
4714607,7.251851852,bowtie
4714609,4.160516605,bowtie
4714611,4.726937269,bowtie
4714615,109.8191882,bowtie
4714639,8.380073801,bowtie
4714649,68.26383764,bowtie
4714659,7.518450185,bowtie
4714661,96.08302583,bowtie
4714679,4.576427256,bowtie
4714705,5.274401473,bowtie
4714729,4.865561694,bowtie
4714739,16.74676525,bowtie
4714743,10.24493554,bowtie
4714755,7.763809524,bowtie
4714757,6.403314917,bowtie
4714759,10.39594843,bowtie
4714763,4.735741445,bowtie
4714773,23.25414365,bowtie
4714775,73.8747698,bowtie
4714777,5.386740331,bowtie
4714781,38.12154696,bowtie
4714783,13.64218456,bowtie
4714785,7.211786372,bowtie
4714797,9.974217311,bowtie
4714799,8.333333333,bowtie
4714813,17.72559853,bowtie
4714817,6.511029412,bowtie
4714823,7.345588235,bowtie
4714827,4.988970588,bowtie
4714829,5.674632353,bowtie
4714843,7.220588235,bowtie
4714845,5.823529412,bowtie
4714859,6.382352941,bowtie
4714865,5.545955882,bowtie
4714867,10.13786765,bowtie
4714869,5.430255403,bowtie
4714871,6.500956023,bowtie
4714885,5.529411765,bowtie
4714905,14.07536765,bowtie
4714909,17.27022059,bowtie
4714929,40.28492647,bowtie
4714943,8.338235294,bowtie
4714947,11.00184502,bowtie
4714951,13.15045872,bowtie
4714957,9.721100917,bowtie
4714963,20.29227941,bowtie
4714979,37.42018349,bowtie
4714981,9.055248619,bowtie
4714985,22.27389706,bowtie
4714993,11.27889908,bowtie
4714997,3.994495413,bowtie
4715015,6.919266055,bowtie
4715025,45.66481481,bowtie
4715029,6.099082569,bowtie
